game_id,round,question_id,capsule_label,correct_answer,player_answers
20260522_142724,1,Q1,Q1-A+B+C,5,"A,B,C:5"
20260522_142724,1,Q2,Q2-B+A,63,"B,A:63"
20260522_142724,1,Q3,Q3-C,90,C:90
20260522_142724,1,Q4,Q4-D,76,D:wrong answer
20260522_142724,2,Q1,Q1-A+B+C,5,"A,B,C:5"
20260522_142724,2,Q2,Q2-B+A,63,"B,A:63"
20260522_142724,2,Q3,Q3-C+A,90,"C,A:90"
20260522_142724,2,Q4,Q4-D,76,D:wrong answer
20260522_142724,2,Q4,Q4-C,76,C:76
20260522_142724,3,Q1,Q1-A+B+C,5,"A,B,C:5"
20260522_142724,3,Q2,Q2-B+A,63,"B,A:63"
20260522_142724,3,Q3,Q3-C+A,90,"C,A:90"
20260522_142724,3,Q4,Q4-D,76,D:wrong answer
20260522_142724,3,Q4,Q4-C,76,C:76
20260522_143042,1,Q1,Q1-A+B,6,"A,B:6"
20260522_143042,1,Q2,Q2-B+A+C,33,"B,A,C:33"
20260522_143042,1,Q3,Q3-C,11,C:11
20260522_143042,1,Q4,Q4-D,88,D:wrong answer
20260522_143042,2,Q1,Q1-A+B,6,"A,B:6"
20260522_143042,2,Q2,Q2-B+A+C,33,"B,A,C:33"
20260522_143042,2,Q3,Q3-C+B,11,"C,B:11"
20260522_143042,2,Q4,Q4-D,88,D:wrong answer
20260522_143042,3,Q1,Q1-A+B,6,"A,B:6"
20260522_143042,3,Q2,Q2-B+A+C,33,"B,A,C:33"
20260522_143042,3,Q3,Q3-C+B,11,"C,B:11"
20260522_143042,3,Q4,Q4-D,88,D:wrong answer
20260522_143042,3,Q4,Q4-B,88,B:88
20260522_143042,4,Q1,Q1-A+B,6,"A,B:6"
20260522_143042,4,Q2,Q2-B+A+C,33,"B,A,C:33"
20260522_143042,4,Q3,Q3-C+B,11,"C,B:11"
20260522_143042,4,Q4,Q4-D,88,D:wrong answer
20260522_143042,4,Q4,Q4-B,88,B:88
20260522_143400,1,Q1,Q1-A,72,A:72
20260522_143400,1,Q2,Q2-B,83,B:83
20260522_143400,1,Q3,Q3-C,8,C:8
20260522_143400,1,Q4,Q4-D+A,7,"D,A:7"
20260522_143734,1,Q1,Q1-A,90,A:90
20260522_143734,1,Q2,Q2-B,6,B:6
20260522_143734,1,Q3,Q3-C,36,C:36
20260522_143734,1,Q4,Q4-D+A,84,"D,A:84"
20260522_143851,1,Q1,Q1-A,29,A:29
20260522_143851,1,Q2,Q2-B,75,B:75
20260522_143851,1,Q3,Q3-C,23,C:23
20260522_143851,1,Q4,Q4-D+A,66,"D,A:66"
20260522_143931,1,Q1,Q1-A,60,A:60
20260522_143931,1,Q2,Q2-B,77,B:77
20260522_143931,1,Q3,Q3-C,18,C:18
20260522_143931,1,Q4,Q4-D+A,45,"D,A:45"
20260522_144002,1,Q1,Q1-A,6,A:6
20260522_144002,1,Q2,Q2-B,6,B:6
20260522_144002,1,Q3,Q3-C,4,C:4
20260522_144002,1,Q4,Q4-D+A,7,"D,A:7"
20260522_144018,1,Q1,Q1-A,5,A:5
20260522_144018,1,Q2,Q2-B,37,B:37
20260522_144018,1,Q3,Q3-C,10,C:10
20260522_144018,1,Q4,Q4-D+A,34,"D,A:34"
20260522_144037,1,Q1,Q1-A,45,A:45
20260522_144037,1,Q2,Q2-B,5,B:5
20260522_144037,1,Q3,Q3-C,73,C:73
20260522_144037,1,Q4,Q4-D+A,36,"D,A:36"
20260522_144054,1,Q1,Q1-A,27,A:27
20260522_144054,1,Q2,Q2-B,36,B:36
20260522_144054,1,Q3,Q3-C,43,C:43
20260522_144054,1,Q4,Q4-D+A,44,"D,A:44"
20260522_144112,1,Q1,Q1-A,60,A:60
20260522_144112,1,Q2,Q2-B,80,B:80
20260522_144112,1,Q3,Q3-C,49,C:49
20260522_144112,1,Q4,Q4-D+A,60,"D,A:60"
