game_id,round,question_id,capsule_label,correct_answer,player_answers
20260520_201200,1,Q1,Q1-A,43,A:43
20260520_201200,1,Q2,Q2-B+C,70,"B,C:70"
20260520_201200,1,Q3,Q3-C,60,C:60
20260520_201200,1,Q4,Q4-D,66,D:66
20260520_201200,2,Q1,Q1-A+B,43,"A,B:43"
20260520_201200,2,Q2,Q2-B+C+A,70,"B,C,A:70"
20260520_201200,2,Q3,Q3-C,60,C:60
20260520_201200,2,Q4,Q4-D,66,D:66
20260520_201200,3,Q1,Q1-A+B,43,"A,B:43"
20260520_201200,3,Q2,Q2-B+C+A,70,"B,C,A:70"
20260520_201200,3,Q3,Q3-C,60,C:60
20260520_201200,3,Q4,Q4-D,66,D:66
20260520_201428,1,Q1,Q1-A+B,5,"A,B:5"
20260520_201428,1,Q2,Q2-B+C,7,"B,C:7"
20260520_201428,1,Q3,Q3-C,23,C:23
20260520_201428,1,Q4,Q4-D,38,D:38
20260520_201537,1,Q1,Q1-A+B,11,"A,B:11"
20260520_201537,1,Q2,Q2-B+C,34,"B,C:34"
20260520_201537,1,Q3,Q3-C,80,C:80
20260520_201537,1,Q4,Q4-D,56,D:56
20260520_201640,1,Q1,Q1-A+B,90,"A,B:90"
20260520_201640,1,Q2,Q2-B,9,B:9
20260520_201640,1,Q3,Q3-C,7,C:7
20260520_201640,1,Q4,Q4-D,84,D:84
20260520_201717,1,Q1,Q1-A+B,7,"A,B:7"
20260520_201717,1,Q2,Q2-B,39,B:39
20260520_201717,1,Q3,Q3-C,88,C:88
20260520_201717,1,Q4,Q4-D,37,D:37
20260520_201748,1,Q1,Q1-A+B,11,"A,B:11"
20260520_201748,1,Q2,Q2-B,64,B:64
20260520_201748,1,Q3,Q3-C,4,C:4
20260520_201748,1,Q4,Q4-D,38,D:38
20260520_201822,1,Q1,Q1-A+B,60,"A,B:60"
20260520_201822,1,Q2,Q2-B,84,B:84
20260520_201822,1,Q3,Q3-C,79,C:79
20260520_201822,1,Q4,Q4-D,9,D:9
