player,game_id,survival,coins
A,20260519_223512,True,2
B,20260519_223512,False,0
C,20260519_223512,False,0
D,20260519_223512,True,4
A,20260519_223711,False,0
B,20260519_223711,True,3
C,20260519_223711,True,3
D,20260519_223711,True,4
A,20260519_223911,True,4
B,20260519_223911,True,3
C,20260519_223911,True,4
D,20260519_223911,True,4
A,20260519_224021,True,4
B,20260519_224021,True,4
C,20260519_224021,True,4
D,20260519_224021,True,4
A,20260519_224113,True,4
B,20260519_224113,True,4
C,20260519_224113,True,4
D,20260519_224113,True,4
A,20260519_224135,True,4
B,20260519_224135,True,4
C,20260519_224135,True,4
D,20260519_224135,True,4
A,20260519_224152,True,4
B,20260519_224152,True,4
C,20260519_224152,True,4
D,20260519_224152,True,4
