game_id,round,question_id,capsule_label,correct_answer,player_answers
20260520_235603,1,Q1,Q1-A+B+C,60,"A,B,C:60"
20260520_235603,1,Q2,Q2-B+A,38,"B,A:38"
20260520_235603,1,Q3,Q3-C,80,C:80
20260520_235603,1,Q4,Q4-D,36,D:wrong answer
20260520_235603,2,Q1,Q1-A+B+C,60,"A,B,C:60"
20260520_235603,2,Q2,Q2-B+A,38,"B,A:38"
20260520_235603,2,Q3,Q3-C+A,80,"C,A:80"
20260520_235603,2,Q4,Q4-D,36,D:wrong answer
20260520_235603,3,Q1,Q1-A+B+C,60,"A,B,C:60"
20260520_235603,3,Q2,Q2-B+A,38,"B,A:38"
20260520_235603,3,Q3,Q3-C+A,80,"C,A:80"
20260520_235603,3,Q4,Q4-D,36,D:wrong answer
20260520_235603,3,Q4,Q4-A,36,A:36
20260520_235603,4,Q1,Q1-A+B+C,60,"A,B,C:60"
20260520_235603,4,Q2,Q2-B+A,38,"B,A:38"
20260520_235603,4,Q3,Q3-C+A,80,"C,A:80"
20260520_235603,4,Q4,Q4-D,36,D:wrong answer
20260520_235603,4,Q4,Q4-A,36,A:36
20260520_235901,1,Q1,Q1-A,8,A:8
20260520_235901,1,Q2,Q2-B+A+C,48,"B,A,C:48"
20260520_235901,1,Q3,Q3-C,90,C:90
20260520_235901,1,Q4,Q4-D,7,D:7
20260520_235947,1,Q1,Q1-A+C,39,"A,C:39"
20260520_235947,1,Q2,Q2-B+A,4,"B,A:4"
20260520_235947,1,Q3,Q3-C,23,C:23
20260520_235947,1,Q4,Q4-D,76,D:76
20260521_000039,1,Q1,Q1-A+C,64,"A,C:64"
20260521_000039,1,Q2,Q2-B+A,82,"B,A:82"
20260521_000039,1,Q3,Q3-C,11,C:11
20260521_000039,1,Q4,Q4-D,82,D:82
20260521_000131,1,Q1,Q1-A+C,6,"A,C:6"
20260521_000131,1,Q2,Q2-B,8,B:8
20260521_000131,1,Q3,Q3-C,8,C:8
20260521_000131,1,Q4,Q4-D,77,D:wrong answer
20260521_000131,2,Q1,Q1-A+C,6,"A,C:6"
20260521_000131,2,Q2,Q2-B+C,8,"B,C:8"
20260521_000131,2,Q3,Q3-C+B,8,"C,B:8"
20260521_000131,2,Q4,Q4-D,77,D:wrong answer
20260521_000131,3,Q1,Q1-A+C,6,"A,C:6"
20260521_000131,3,Q2,Q2-B+C,8,"B,C:8"
20260521_000131,3,Q3,Q3-C+B,8,"C,B:8"
20260521_000131,3,Q4,Q4-D,77,D:wrong answer
20260521_000131,3,Q4,Q4-C,77,C:77
20260521_000131,4,Q1,Q1-A+C,6,"A,C:6"
20260521_000131,4,Q2,Q2-B+C,8,"B,C:8"
20260521_000131,4,Q3,Q3-C+B,8,"C,B:8"
20260521_000131,4,Q4,Q4-D,77,D:wrong answer
20260521_000131,4,Q4,Q4-C,77,C:77
20260521_000353,1,Q1,Q1-A+C,70,"A,C:70"
20260521_000353,1,Q2,Q2-B+A,87,"B,A:87"
20260521_000353,1,Q3,Q3-C,84,C:84
20260521_000353,1,Q4,Q4-D,72,D:72
20260521_000502,1,Q1,Q1-A+C,34,"A,C:34"
20260521_000502,1,Q2,Q2-B+A,38,"B,A:38"
20260521_000502,1,Q3,Q3-C,18,C:18
20260521_000502,1,Q4,Q4-D,82,D:82
20260521_000530,1,Q1,Q1-A+C,84,"A,C:84"
20260521_000530,1,Q2,Q2-B+A,83,"B,A:83"
20260521_000530,1,Q3,Q3-C,27,C:27
20260521_000530,1,Q4,Q4-D,24,D:24
20260521_000553,1,Q1,Q1-A+C,37,"A,C:37"
20260521_000553,1,Q2,Q2-B+A,45,"B,A:45"
20260521_000553,1,Q3,Q3-C,48,C:48
20260521_000553,1,Q4,Q4-D,44,D:44
20260521_000615,1,Q1,Q1-A+C,63,"A,C:63"
20260521_000615,1,Q2,Q2-B+A,6,"B,A:6"
20260521_000615,1,Q3,Q3-C,8,C:8
20260521_000615,1,Q4,Q4-D,37,D:37
20260521_000649,1,Q1,Q1-A+C,38,"A,C:38"
20260521_000649,1,Q2,Q2-B+A,79,"B,A:79"
20260521_000649,1,Q3,Q3-C,66,C:66
20260521_000649,1,Q4,Q4-D,56,D:56
