game_id,round,question_id,capsule_label,correct_answer,player_answers
20260521_213525,1,Q1,Q1-A+B+C,5,"A,B,C:5"
20260521_213525,1,Q2,Q2-B+A,84,"B,A:84"
20260521_213525,1,Q3,Q3-C,76,C:76
20260521_213525,1,Q4,Q4-D,87,D:87
20260521_213525,2,Q1,Q1-A+B+C,5,"A,B,C:5"
20260521_213525,2,Q2,Q2-B+A,84,"B,A:84"
20260521_213525,2,Q3,Q3-C,76,C:76
20260521_213525,2,Q4,Q4-D+A,87,"D,A:87"
20260521_213750,1,Q1,Q1-A+B,9,"A,B:9"
20260521_213750,1,Q2,Q2-B+A+C,70,"B,A,C:70"
20260521_213750,1,Q3,Q3-C,63,C:63
20260521_213750,1,Q4,Q4-D,66,D:66
20260521_213750,2,Q1,Q1-A+B,9,"A,B:9"
20260521_213750,2,Q2,Q2-B+A+C,70,"B,A,C:70"
20260521_213750,2,Q3,Q3-C+B,63,"C,B:63"
20260521_213750,2,Q4,Q4-D,66,D:66
20260521_213953,1,Q1,Q1-A+B,7,"A,B:7"
20260521_213953,1,Q2,Q2-B+A,37,"B,A:37"
20260521_213953,1,Q3,Q3-C,36,C:36
20260521_213953,1,Q4,Q4-D,63,D:63
20260521_214102,1,Q1,Q1-A+B,47,"A,B:47"
20260521_214102,1,Q2,Q2-B+A,72,"B,A:72"
20260521_214102,1,Q3,Q3-C,9,C:9
20260521_214102,1,Q4,Q4-D,90,D:wrong answer
20260521_214102,2,Q1,Q1-A+B,47,"A,B:47"
20260521_214102,2,Q2,Q2-B+A,72,"B,A:72"
20260521_214102,2,Q3,Q3-C+A+B,9,"C,A,B:9"
20260521_214102,2,Q4,Q4-D,90,D:wrong answer
20260521_214102,3,Q1,Q1-A+B,47,"A,B:47"
20260521_214102,3,Q2,Q2-B+A,72,"B,A:72"
20260521_214102,3,Q3,Q3-C+A+B,9,"C,A,B:9"
20260521_214102,3,Q4,Q4-D,90,D:wrong answer
20260521_214102,3,Q4,Q4-A,90,A:90
20260521_214102,4,Q1,Q1-A+B,47,"A,B:47"
20260521_214102,4,Q2,Q2-B+A,72,"B,A:72"
20260521_214102,4,Q3,Q3-C+A+B,9,"C,A,B:9"
20260521_214102,4,Q4,Q4-D,90,D:wrong answer
20260521_214102,4,Q4,Q4-A,90,A:90
20260521_214352,1,Q1,Q1-A+B+C,48,"A,B,C:48"
20260521_214352,1,Q2,Q2-B+A,88,"B,A:88"
20260521_214352,1,Q3,Q3-C,39,C:39
20260521_214352,1,Q4,Q4-D,11,D:wrong answer
20260521_214352,2,Q1,Q1-A+B+C,48,"A,B,C:48"
20260521_214352,2,Q2,Q2-B+A,88,"B,A:88"
20260521_214352,2,Q3,Q3-C+A,39,"C,A:39"
20260521_214352,2,Q4,Q4-D,11,D:wrong answer
20260521_214352,3,Q1,Q1-A+B+C,48,"A,B,C:48"
20260521_214352,3,Q2,Q2-B+A,88,"B,A:88"
20260521_214352,3,Q3,Q3-C+A,39,"C,A:39"
20260521_214352,3,Q4,Q4-D,11,D:wrong answer
20260521_214352,3,Q4,Q4-A,11,A:11
20260521_214352,4,Q1,Q1-A+B+C,48,"A,B,C:48"
20260521_214352,4,Q2,Q2-B+A,88,"B,A:88"
20260521_214352,4,Q3,Q3-C+A,39,"C,A:39"
20260521_214352,4,Q4,Q4-D,11,D:wrong answer
20260521_214352,4,Q4,Q4-A,11,A:11
20260521_214636,1,Q1,Q1-A,83,A:83
20260521_214636,1,Q2,Q2-B+A,83,"B,A:83"
20260521_214636,1,Q3,Q3-C,11,C:11
20260521_214636,1,Q4,Q4-D+C,84,"D,C:84"
20260521_214808,1,Q1,Q1-A,48,A:48
20260521_214808,1,Q2,Q2-B+A,86,"B,A:86"
20260521_214808,1,Q3,Q3-C,80,C:80
20260521_214808,1,Q4,Q4-D+C,60,"D,C:60"
20260521_214912,1,Q1,Q1-A,9,A:9
20260521_214912,1,Q2,Q2-B+A,36,"B,A:36"
20260521_214912,1,Q3,Q3-C,73,C:73
20260521_214912,1,Q4,Q4-D+C,11,"D,C:11"
20260521_214955,1,Q1,Q1-A,48,A:48
20260521_214955,1,Q2,Q2-B+A,82,"B,A:82"
20260521_214955,1,Q3,Q3-C,47,C:47
20260521_214955,1,Q4,Q4-D+C,43,"D,C:43"
20260521_215027,1,Q1,Q1-A,27,A:27
20260521_215027,1,Q2,Q2-B+A,9,"B,A:9"
20260521_215027,1,Q3,Q3-C,56,C:56
20260521_215027,1,Q4,Q4-D+C,37,"D,C:37"
20260521_215055,1,Q1,Q1-A,11,A:11
20260521_215055,1,Q2,Q2-B+A,4,"B,A:4"
20260521_215055,1,Q3,Q3-C,23,C:23
20260521_215055,1,Q4,Q4-D+C,7,"D,C:7"
