game_id,round,question_id,capsule_label,correct_answer,player_answers
20260531_120032,1,Q1,Q1-A+B+C,23,"A,B,C:23"
20260531_120032,1,Q2,Q2-B+A,11,"B,A:11"
20260531_120032,1,Q3,Q3-C,77,C:77
20260531_120032,1,Q4,Q4-D,66,D:66
20260531_120032,2,Q1,Q1-A+B+C,23,"A,B,C:23"
20260531_120032,2,Q2,Q2-B+A,11,"B,A:11"
20260531_120032,2,Q3,Q3-C+B,77,"C,B:77"
20260531_120032,2,Q4,Q4-D+A+C,66,"D,A,C:66"
20260531_120032,3,Q1,Q1-A+B+C,23,"A,B,C:23"
20260531_120032,3,Q2,Q2-B+A,11,"B,A:11"
20260531_120032,3,Q3,Q3-C+B,77,"C,B:77"
20260531_120032,3,Q4,Q4-D+A+C,66,"D,A,C:66"
20260531_120320,1,Q1,Q1-A+B,60,"A,B:60"
20260531_120320,1,Q2,Q2-B+A+C,48,"B,A,C:48"
20260531_120320,1,Q3,Q3-C,84,C:84
20260531_120320,1,Q4,Q4-D,11,D:11
20260531_120320,2,Q1,Q1-A+B,60,"A,B:60"
20260531_120320,2,Q2,Q2-B+A+C,48,"B,A,C:48"
20260531_120320,2,Q3,Q3-C,84,C:84
20260531_120320,2,Q4,Q4-D+A,11,"D,A:11"
20260531_120516,1,Q1,Q1-A+B,45,"A,B:45"
20260531_120516,1,Q2,Q2-B+A+C,37,"B,A,C:37"
20260531_120516,1,Q3,Q3-C,87,C:87
20260531_120516,1,Q4,Q4-D,84,D:84
20260531_120516,2,Q1,Q1-A+B,45,"A,B:45"
20260531_120516,2,Q2,Q2-B+A+C,37,"B,A,C:37"
20260531_120516,2,Q3,Q3-C,87,C:87
20260531_120516,2,Q4,Q4-D+A,84,"D,A:84"
20260531_120731,1,Q1,Q1-A+B,38,"A,B:38"
20260531_120731,1,Q2,Q2-B+A+C,43,"B,A,C:43"
20260531_120731,1,Q3,Q3-C,36,C:36
20260531_120731,1,Q4,Q4-D,77,D:wrong answer
20260531_120731,2,Q1,Q1-A+B,38,"A,B:38"
20260531_120731,2,Q2,Q2-B+A+C,43,"B,A,C:43"
20260531_120731,2,Q3,Q3-C,36,C:36
20260531_120731,2,Q4,Q4-D,77,D:wrong answer
20260531_120731,2,Q4,Q4-A,77,A:77
20260531_120731,3,Q1,Q1-A+B,38,"A,B:38"
20260531_120731,3,Q2,Q2-B+A+C,43,"B,A,C:43"
20260531_120731,3,Q3,Q3-C,36,C:36
20260531_120731,3,Q4,Q4-D,77,D:wrong answer
20260531_120731,3,Q4,Q4-A,77,A:77
20260531_121021,1,Q1,Q1-A,83,A:83
20260531_121021,1,Q2,Q2-B+A,45,"B,A:45"
20260531_121021,1,Q3,Q3-C,5,C:5
20260531_121021,1,Q4,Q4-D,8,D:wrong answer
20260531_121021,1,Q4,Q4-C,8,C:8
20260531_121021,2,Q1,Q1-A,83,A:83
20260531_121021,2,Q2,Q2-B+A,45,"B,A:45"
20260531_121021,2,Q3,Q3-C,5,C:5
20260531_121021,2,Q4,Q4-D,8,D:wrong answer
20260531_121021,2,Q4,Q4-C,8,C:8
20260531_121727,1,Q1,Q1-A,60,A:60
20260531_121727,1,Q2,Q2-B+A,38,"B,A:38"
20260531_121727,1,Q3,Q3-C,84,C:84
20260531_121727,1,Q4,Q4-D+B+C,29,"D,B,C:29"
20260531_121727,2,Q1,Q1-A,60,A:60
20260531_121727,2,Q2,Q2-B+A,38,"B,A:38"
20260531_121727,2,Q3,Q3-C,84,C:84
20260531_121727,2,Q4,Q4-D+B+C,29,"D,B,C:29"
20260531_121956,1,Q1,Q1-A,49,A:49
20260531_121956,1,Q2,Q2-B+A,4,"B,A:4"
20260531_121956,1,Q3,Q3-C,11,C:11
20260531_121956,1,Q4,Q4-D+C,47,"D,C:47"
20260531_122149,1,Q1,Q1-A,6,A:6
20260531_122149,1,Q2,Q2-B+A,44,"B,A:44"
20260531_122149,1,Q3,Q3-C,9,C:9
20260531_122149,1,Q4,Q4-D+C,56,"D,C:56"
20260531_122240,1,Q1,Q1-A,48,A:48
20260531_122240,1,Q2,Q2-B+A,86,"B,A:86"
20260531_122240,1,Q3,Q3-C,37,C:37
20260531_122240,1,Q4,Q4-D+C,73,"D,C:73"
20260531_122343,1,Q1,Q1-A,72,A:72
20260531_122343,1,Q2,Q2-B+A,79,"B,A:79"
20260531_122343,1,Q3,Q3-C,39,C:39
20260531_122343,1,Q4,Q4-D+C,34,"D,C:34"
20260531_122418,1,Q1,Q1-A,60,A:60
20260531_122418,1,Q2,Q2-B+A,78,"B,A:78"
20260531_122418,1,Q3,Q3-C,8,C:8
20260531_122418,1,Q4,Q4-D+C,37,"D,C:37"
