game_number,round,verify_dummy,verify_other,volunteer_with_dummy,game_round_label
1,1,0.0,3.0,0.0,G1R1
1,2,0.8181818181818182,1.5454545454545454,0.0,G1R2
1,3,0.2727272727272727,0.0,1.3636363636363635,G1R3
1,4,0.0,0.0,0.0,G1R4
2,1,0.18181818181818182,2.8181818181818183,0.0,G2R1
2,2,0.6363636363636364,1.5454545454545454,0.36363636363636365,G2R2
2,3,0.0,0.0,0.9090909090909091,G2R3
2,4,0.0,0.0,0.0,G2R4
3,1,0.18181818181818182,2.8181818181818183,0.0,G3R1
3,2,0.2727272727272727,1.3636363636363635,0.45454545454545453,G3R2
3,3,0.0,0.0,0.8181818181818182,G3R3
3,4,0.0,0.0,0.0,G3R4
4,1,0.18181818181818182,2.8181818181818183,0.0,G4R1
4,2,0.18181818181818182,1.0909090909090908,1.0,G4R2
4,3,0.0,0.0,0.36363636363636365,G4R3
4,4,0.0,0.0,0.0,G4R4
5,1,0.18181818181818182,2.8181818181818183,0.0,G5R1
5,2,0.09090909090909091,1.1818181818181819,1.2727272727272727,G5R2
5,3,0.0,0.0,0.18181818181818182,G5R3
5,4,0.0,0.0,0.0,G5R4
6,1,0.18181818181818182,2.8181818181818183,0.0,G6R1
6,2,0.0,0.6363636363636364,1.5454545454545454,G6R2
6,3,0.0,0.0,0.09090909090909091,G6R3
6,4,0.0,0.0,0.0,G6R4
7,1,0.18181818181818182,2.8181818181818183,0.0,G7R1
7,2,0.0,0.7272727272727273,1.6363636363636365,G7R2
7,3,0.0,0.0,0.2727272727272727,G7R3
7,4,0.0,0.0,0.0,G7R4
8,1,0.18181818181818182,2.8181818181818183,0.0,G8R1
8,2,0.0,0.36363636363636365,1.9090909090909092,G8R2
8,3,0.0,0.0,0.0,G8R3
8,4,0.0,0.0,0.0,G8R4
9,1,0.18181818181818182,2.8181818181818183,0.0,G9R1
9,2,0.0,0.18181818181818182,2.090909090909091,G9R2
9,3,0.0,0.0,0.0,G9R3
9,4,0.0,0.0,0.0,G9R4
10,1,0.18181818181818182,2.8181818181818183,0.0,G10R1
10,2,0.0,0.18181818181818182,1.9090909090909092,G10R2
10,3,0.0,0.0,0.0,G10R3
10,4,0.0,0.0,0.0,G10R4
